name,team,pos,adp,proj_points
Christian McCaffrey,SF,RB1,1,11.9
CeeDee Lamb,DAL,WR1,2.6,17.6
Tyreek Hill,MIA,WR2,3.2,12.8
Bijan Robinson,ATL,RB2,5,20.1
Breece Hall,NYJ,RB3,5.4,15.1
Amon-Ra St. Brown,DET,WR3,6.2,18.6
Ja'Marr Chase,CIN,WR4,6.6,23.7
Justin Jefferson,MIN,WR5,7,18.7
Saquon Barkley,PHI,RB4,9.2,22.2
A.J. Brown,PHI,WR6,10.2,16.7
Jonathan Taylor,IND,RB5,10.4,17.5
Garrett Wilson,NYJ,WR7,12.4,14.8
Jahmyr Gibbs,DET,RB6,12.8,21.3
Puka Nacua,LAR,WR8,14.2,18.8
Kyren Williams,LAR,RB7,16,17
Marvin Harrison Jr.,ARI,WR9,16.8,11.6
Travis Etienne Jr.,JAC,RB8,17.4,8.7
Derrick Henry,BAL,RB9,18,19.8
Isiah Pacheco,KC,RB10,20.2,8.1
Davante Adams,LAR,WR10,22,17.2
Josh Allen,BUF,QB1,24.2,22.6
Travis Kelce,KC,TE1,25.2,12.2
Drake London,ATL,WR11,25.6,16.5
Chris Olave,NO,WR12,26.2,9.6
De'Von Achane,MIA,RB11,27.4,17.6
Josh Jacobs,GB,RB12,28.2,17.2
Nico Collins,HOU,WR13,28.2,17.6
Patrick Mahomes II,KC,QB2,29,18.4
James Cook,BUF,RB13,31,16.7
Mike Evans,TB,WR14,31.2,17.2
Jalen Hurts,PHI,QB3,31.2,21.3
Rachaad White,TB,RB14,31.6,12.5
Sam LaPorta,DET,TE2,31.8,10.9
Deebo Samuel Sr.,WAS,WR15,32,10.2
Brandon Aiyuk,SF,WR16,34,8.9
Michael Pittman Jr.,IND,WR17,34.6,10.4
Cooper Kupp,SEA,WR18,34.8,14.6
Lamar Jackson,BAL,QB4,37.2,25.6
Joe Mixon,HOU,RB15,38.6,17.2
Alvin Kamara,NO,RB16,39.6,18.9
DK Metcalf,PIT,WR19,41.2,12.7
Kenneth Walker III,SEA,RB17,41.4,16.5
Jaylen Waddle,MIA,WR20,42.6,9.3
Stefon Diggs,NE,WR21,43,15.2
DJ Moore,CHI,WR22,43.6,14
DeVonta Smith,PHI,WR23,44,15.3
Mark Andrews,BAL,TE3,45.8,11.1
Trey McBride,ARI,TE4,46.4,15.6
Malik Nabers,NYG,WR24,48.6,18.2
C.J. Stroud,HOU,QB5,48.6,13.7
Dalton Kincaid,BUF,TE5,53.6,7.8
James Conner,ARI,RB18,56,15.9
George Kittle,SF,TE6,56.6,15.8
Amari Cooper,,WR25,56.8,8.8
Anthony Richardson,IND,QB6,57.6,15.9
Aaron Jones Sr.,MIN,RB19,59.2,14.2
George Pickens,PIT,WR26,59.6,11.7
D'Andre Swift,CHI,RB20,60.6,12.6
Joe Burrow,CIN,QB7,61.8,22.5
David Montgomery,DET,RB21,61.8,15.8
Tee Higgins,CIN,WR27,62.2,18.5
Zay Flowers,BAL,WR28,63.2,12.3
Kyle Pitts,ATL,TE7,64.2,7.7
Tank Dell,HU,WR29,65,10
Evan Engram,DEN,TE8,65,9.9
Zamir White,LV,RB22,66.6,3.7
Rhamondre Stevenson,NE,RB23,66.6,11.7
Rashee Rice,KC,WR30,67.6,16.2
Dak Prescott,DAL,QB8,68.4,15.6
Kyler Murray,ARI,QB9,70.2,18.1
Najee Harris,LAC,RB24,70.8,12
Jordan Love,GB,QB10,71.4,16.3
Terry McLaurin,WAS,WR31,71.6,15.8
Calvin Ridley,TEN,WR32,74.4,11.7
Raheem Mostert,LV,RB25,74.6,5.5
Christian Kirk,HU,WR33,74.6,8.9
Chris Godwin,TB,WR34,76.2,17.2
Keenan Allen,,WR35,79.4,12.4
Javonte Williams,DAL,RB26,81.2,9.3
Jake Ferguson,DAL,TE9,81.6,7.5
Tony Pollard,TEN,RB27,81.8,12.5
David Njoku,CLE,TE10,84.2,13.5
Jayden Reed,GB,WR36,87.2,11.6
Diontae Johnson,,WR37,88.2,7.4
Xavier Worthy,KC,WR38,90,11
Austin Ekeler,WAS,RB28,91,11
Brock Purdy,SF,QB11,91.8,18.6
Brian Robinson Jr.,WAS,RB29,92.6,11.4
Jaylen Warren,PIT,RB30,92.6,8.3
Devin Singletary,NYG,RB31,94.4,6
Zack Moss,CIN,RB32,98,9.1
Rome Odunze,CHI,WR39,98.4,8.5
Jaxon Smith-Njigba,SEA,WR40,99.8,14.9
Tyjae Spears,TEN,RB33,100.2,9.5
Brock Bowers,LV,TE11,100.6,15.5
Nick Chubb,,RB34,100.8,
Jonathon Brooks,CAR,RB35,101.4,2.5
Christian Watson,GB,WR41,102.2,7
Jayden Daniels,WAS,QB12,102.6,21.5
Keon Coleman,BUF,WR42,104.6,8.6
Ladd McConkey,LAC,WR43,105.4,15.1
DeAndre Hopkins,BAL,WR44,107.6,9.2
Justin Tucker,BAL,K1,108.4,8.4
Caleb Williams,CHI,QB13,109,15.3
Dallas Goedert,PHI,TE12,109.6,10.4
Marquise Brown,KC,WR45,110.2,9.1
